"Sex" "Age" "startAge" "digRe" "Dtot" "PYtot" "mx"
"1" 61 56 6 181 14703.87684 0.0123096787309598
"1" 61 56 7 662 58737.27992 0.011270525310359
"1" 61 56 90 28 2898.65708 0.00965964556248923
"1" 61 56 91 91 7247.47707 0.0125560935372507
"1" 61 56 99 147 8151.30045 0.0180339322420633
"1" 61 61 0 355 37443.5161 0.00948094722332981
"1" 61 61 1 66 7193.48186 0.00917497274400578
"1" 61 61 2 72 7852.99311 0.00916847869232372
"1" 61 61 3 113 14014.2943 0.00806319587565676
"1" 61 61 4 153 15578.00747 0.00982153849230373
"1" 61 61 6 182 14441.72212 0.0126023751521955
"1" 61 61 7 642 55113.87611 0.0116486091219324
"1" 61 61 90 28 2812.08148 0.0099570372335015
"1" 61 61 91 96 7672.73169 0.0125118411380289
"1" 61 61 99 169 10789.90694 0.0156627856884927
"1" 62 51 0 372 50446.26003 0.00737418392917085
"1" 62 51 1 57 8569.42985 0.00665155103638546
"1" 62 51 2 73 7048.5243 0.010356777800993
"1" 62 51 3 143 17054.62692 0.00838482135497808
"1" 62 51 4 112 11605.86113 0.00965029641018977
"1" 62 51 6 158 15035.78785 0.0105082621260847
"1" 62 51 7 716 63793.63521 0.0112236902261962
"1" 62 51 90 32 3288.99658 0.00972941115067988
"1" 62 51 91 77 7085.35184 0.0108674913735829
"1" 62 51 99 139 8700.60169 0.0159759066042247
"1" 62 56 0 386 40851.2197 0.00944892228028139
"1" 62 56 1 54 7302.41686 0.00739481202391943
"1" 62 56 2 79 7234.91921 0.0109192649851304
"1" 62 56 3 169 14888.34359 0.0113511619998824
"1" 62 56 4 139 13365.1129 0.0104002114340538
"1" 62 56 6 171 14523.56751 0.0117739666843054
"1" 62 56 7 731 58053.60925 0.0125918096987226
"1" 62 56 90 31 2868.58931 0.0108067055440571
"1" 62 56 91 98 7152.4004 0.0137016937698287
"1" 62 56 99 126 8009.10536 0.0157320942023417
"1" 62 61 0 369 37073.09583 0.00995330958310206
"1" 62 61 1 61 7123.79462 0.00856285213904721
"1" 62 61 2 106 7761.42159 0.0136572918724803
"1" 62 61 3 132 13894.70837 0.00950001946676337
"1" 62 61 4 141 15432.66459 0.00913646500756355
"1" 62 61 6 176 14259.82616 0.0123423664514014
"1" 62 61 7 663 54454.36145 0.01217533329463
"1" 62 61 90 30 2783.80902 0.0107766013345269
"1" 62 61 91 99 7568.82132 0.0130799758396199
"1" 62 61 99 219 10600.42303 0.0206595528669199
"1" 63 51 0 426 50052.39278 0.00851108161546718
"1" 63 51 1 65 8508.77138 0.00763917575136447
"1" 63 51 2 68 6973.89726 0.00975064550922277
"1" 63 51 3 158 16901.31146 0.00934838698014266
"1" 63 51 4 120 11489.15464 0.0104446326783883
"1" 63 51 6 203 14853.0965 0.0136671838091135
"1" 63 51 7 797 63056.94257 0.012639369552611
"1" 63 51 90 31 3253.06227 0.00952948250818451
"1" 63 51 91 86 7009.55305 0.0122689705586863
"1" 63 51 99 143 8554.6509 0.0167160532523893
"1" 63 56 0 413 40453.54957 0.0102092400886937
"1" 63 56 1 79 7240.12801 0.0109114092859803
"1" 63 56 2 100 7142.99175 0.0139997361749718
"1" 63 56 3 154 14727.45523 0.0104566605428411
"1" 63 56 4 142 13222.17386 0.0107395350797482
"1" 63 56 6 191 14340.33805 0.0133190723492045
"1" 63 56 7 841 57272.20061 0.0146842620161719
"1" 63 56 90 28 2842.14854 0.00985170183962306
"1" 63 56 91 107 7053.24636 0.0151703193875111
"1" 63 56 99 144 7880.01852 0.0182740687264273
"1" 63 61 0 384 36699.09853 0.0104634722753774
"1" 63 61 1 79 7057.21972 0.0111942100620894
"1" 63 61 2 105 7657.91991 0.01371129513419
"1" 63 61 3 144 13757.43532 0.0104670672004293
"1" 63 61 4 174 15273.64616 0.0113921717301326
"1" 63 61 6 187 14079.37443 0.0132818401080054
"1" 63 61 7 669 53795.42506 0.0124360017465024
"1" 63 61 90 33 2755.07803 0.0119778821654645
"1" 63 61 91 107 7464.60647 0.0143343122547758
"1" 63 61 99 207 10387.39492 0.0199279994256731
"1" 64 51 0 404 49650.86377 0.00813681715330206
"1" 64 51 1 67 8438.82203 0.00793949674039992
"1" 64 51 2 97 6885.44765 0.0140876824471972
"1" 64 51 3 202 16727.19234 0.0120761449915868
"1" 64 51 4 116 11369.2012 0.0102030035320335
"1" 64 51 6 196 14652.39085 0.0133766565474876
"1" 64 51 7 833 62234.31015 0.0133848997119477
"1" 64 51 90 39 3222.42981 0.0121026685760457
"1" 64 51 91 100 6910.83303 0.0144700356043763
"1" 64 51 99 154 8407.88232 0.0183161459852592
"1" 64 56 0 413 40041.74267 0.0103142364058352
"1" 64 56 1 87 7149.75016 0.0121682573590795
"1" 64 56 2 102 7043.99247 0.0144804243381027
"1" 64 56 3 194 14552.67075 0.0133308863598113
"1" 64 56 4 141 13081.13964 0.0107788773669876
"1" 64 56 6 201 14143.10605 0.0142118710903677
"1" 64 56 7 869 56404.44826 0.0154065863031633
"1" 64 56 90 40 2808.32513 0.0142433650479779
"1" 64 56 91 113 6944.88782 0.0162709611629119
"1" 64 56 99 139 7741.39087 0.0179554297585803
"1" 64 61 0 412 36286.58657 0.0113540577647119
"1" 64 61 1 77 6979.10059 0.0110329402774807
"1" 64 61 2 121 7546.32377 0.0160342974523607
"1" 64 61 3 159 13611.94117 0.0116809203047709
"1" 64 61 4 187 15093.55237 0.0123893961749973
"1" 64 61 6 220 13886.62218 0.0158425855581245
"1" 64 61 7 841 53034.60507 0.0158575707104818
"1" 64 61 90 39 2717.53934 0.0143512181869647
"1" 64 61 91 137 7341.76183 0.0186603710624593
"1" 64 61 99 223 10171.36895 0.0219242858160209
"1" 65 51 0 497 49197.60855 0.0101021170469067
"1" 65 51 1 77 8367.66671 0.00920208735225784
"1" 65 51 2 87 6799.25597 0.0127955176836797
"1" 65 51 3 198 16519.02264 0.0119861812841489
"1" 65 51 4 140 11243.15881 0.0124520165876764
"1" 65 51 6 196 14456.82619 0.013557609216854
"1" 65 51 7 948 61340.74668 0.0154546537384928
"1" 65 51 90 29 3191.57289 0.00908642885483339
"1" 65 51 91 104 6815.01095 0.0152604303592498
"1" 65 51 99 190 8239.6304 0.0230592867369391
"1" 65 56 0 469 39605.37989 0.0118418255626534
"1" 65 56 1 69 7075.83772 0.00975149554447385
"1" 65 56 2 97 6947.61054 0.0139616346428077
"1" 65 56 3 188 14366.37101 0.0130861161715188
"1" 65 56 4 161 12931.11223 0.0124505918080644
"1" 65 56 6 208 13936.65028 0.014924676720811
"1" 65 56 7 992 55484.68648 0.0178788069814106
"1" 65 56 90 46 2763.71185 0.0166442822177717
"1" 65 56 91 115 6827.84327 0.0168428002009484
"1" 65 56 99 150 7598.89663 0.0197397079212538
"1" 65 61 0 490 35841.20952 0.0136714136203069
"1" 65 61 1 77 6895.86039 0.0111661193303248
"1" 65 61 2 122 7427.80766 0.0164247656353557
"1" 65 61 3 171 13441.83438 0.0127214779743477
"1" 65 61 4 214 14888.51479 0.0143734954774492
"1" 65 61 6 227 13657.46543 0.0166209463361607
"1" 65 61 7 848 52206.24085 0.0162432687393925
"1" 65 61 90 41 2676.60165 0.015317931228205
"1" 65 61 91 126 7212.22584 0.0174703347891835
"1" 65 61 99 229 9940.0164 0.0230381913655595
"1" 66 51 0 564 48667.48727 0.0115888456881082
"1" 66 51 1 101 8283.85426 0.0121923921920857
"1" 66 51 2 94 6710.25462 0.0140084103097715
"1" 66 51 3 217 16317.19856 0.0132988514665718
"1" 66 51 4 141 11103.56467 0.0126986246480789
"1" 66 51 6 249 14239.80289 0.0174861971000218
"1" 66 51 7 997 60360.0109 0.0165175583160804
"1" 66 51 90 49 3147.28405 0.0155689792282969
"1" 66 51 91 121 6693.15266 0.01807817722777
"1" 66 51 99 176 8054.23274 0.0218518641913494
"1" 66 56 0 487 39123.72064 0.0124476913758067
"1" 66 56 1 104 6992.29294 0.0148735187287505
"1" 66 56 2 110 6839.70841 0.0160825569463129
"1" 66 56 3 213 14163.0534 0.0150391299096563
"1" 66 56 4 168 12768.44352 0.0131574376890066
"1" 66 56 6 236 13713.98084 0.0172087158902579
"1" 66 56 7 951 54520.56249 0.0174429601707508
"1" 66 56 90 44 2719.08622 0.0161819068760534
"1" 66 56 91 134 6705.07323 0.0199848674881661
"1" 66 56 99 173 7436.73581 0.0232628944230305
"1" 66 61 0 541 35329.72064 0.0153128864366814
"1" 66 61 1 86 6815.26281 0.0126187356815958
"1" 66 61 2 134 7295.88434 0.0183665192258242
"1" 66 61 3 203 13252.19034 0.0153182224818543
"1" 66 61 4 204 14686.37512 0.0138904255361278
"1" 66 61 6 282 13401.24705 0.0210428178025417
"1" 66 61 7 972 51294.33401 0.0189494613539676
"1" 66 61 90 37 2639.42029 0.0140182297378641
"1" 66 61 91 165 7066.4456 0.0233497870556026
"1" 66 61 99 244 9705.86792 0.0251394313224901
"1" 67 51 0 582 48074.97268 0.0121060911230038
"1" 67 51 1 77 8187.23134 0.00940488875937882
"1" 67 51 2 78 6628.44488 0.011767466036468
"1" 67 51 3 223 16101.44081 0.0138496922499944
"1" 67 51 4 150 10955.12255 0.0136922247391929
"1" 67 51 6 224 14004.28332 0.0159951062743852
"1" 67 51 7 1055 59344.08084 0.0177776786676405
"1" 67 51 90 46 3099.09375 0.0148430488751752
"1" 67 51 91 115 6581.2991 0.0174737537760592
"1" 67 51 99 146 7886.24369 0.0185132498739714
"1" 67 56 0 484 38636.03137 0.0125271665550985
"1" 67 56 1 94 6893.38539 0.0136362606588575
"1" 67 56 2 110 6730.88704 0.0163425710974344
"1" 67 56 3 245 13934.00619 0.0175828829598073
"1" 67 56 4 194 12584.5723 0.0154157006988628
"1" 67 56 6 245 13475.16912 0.0181815899910576
"1" 67 56 7 1011 53524.30677 0.0188886145568289
"1" 67 56 90 48 2673.00822 0.0179572960684722
"1" 67 56 91 132 6568.38059 0.0200962776427667
"1" 67 56 99 171 7259.18209 0.0235563728640398
"1" 67 61 0 520 34803.22791 0.0149411428544704
"1" 67 61 1 106 6719.98566 0.0157738431840642
"1" 67 61 2 139 7158.14035 0.0194184513300302
"1" 67 61 3 227 13038.34085 0.0174101906532072
"1" 67 61 4 254 14461.73712 0.0175635885158449
"1" 67 61 6 236 13134.88157 0.0179674250386104
"1" 67 61 7 996 50288.88041 0.0198055711696048
"1" 67 61 90 50 2595.20531 0.0192662984340148
"1" 67 61 91 161 6899.49005 0.02333505792939
"1" 67 61 99 239 9468.41141 0.0252418267068097
"1" 68 51 0 633 47484.40521 0.0133306924073399
"1" 68 51 1 87 8107.77069 0.01073044654646
"1" 68 51 2 107 6531.52701 0.01638208030621
"1" 68 51 3 238 15859.93982 0.0150063621111521
"1" 68 51 4 137 10809.59824 0.0126739215425272
"1" 68 51 6 268 13757.77562 0.0194798932183777
"1" 68 51 7 1106 58262.84256 0.0189829392354316
"1" 68 51 90 51 3051.5284 0.0167129363764073
"1" 68 51 91 138 6458.75768 0.0213663380540389
"1" 68 51 99 169 7732.34702 0.021856235831485
"1" 68 56 0 561 38117.42988 0.0147176764479169
"1" 68 56 1 103 6796.68656 0.0151544431379516
"1" 68 56 2 133 6613.09717 0.0201116052858482
"1" 68 56 3 239 13707.04109 0.0174362941229061
"1" 68 56 4 199 12390.4223 0.0160607923750912
"1" 68 56 6 284 13216.01174 0.0214890850270991
"1" 68 56 7 1081 52504.53399 0.020588698115212
"1" 68 56 90 48 2624.46609 0.0182894342521301
"1" 68 56 91 153 6424.92474 0.0238135085143425
"1" 68 56 99 182 7087.40313 0.0256793633241517
"1" 68 61 0 572 34260.39979 0.0166956603981882
"1" 68 61 1 105 6613.30873 0.0158770751959133
"1" 68 61 2 126 7025.04719 0.0179358225777271
"1" 68 61 3 234 12814.58931 0.018260436939434
"1" 68 61 4 247 14204.38129 0.0173890009678838
"1" 68 61 6 269 12882.24025 0.0208814612039237
"1" 68 61 7 1128 49213.96438 0.0229203238188713
"1" 68 61 90 50 2541.51333 0.0196733180226916
"1" 68 61 91 159 6744.74947 0.0235738926563865
"1" 68 61 99 261 9211.70223 0.028333525496514
"1" 69 51 0 687 46808.82265 0.0146767203511366
"1" 69 51 1 95 8019.71184 0.0118458121557644
"1" 69 51 2 117 6416.9466 0.0182329708026556
"1" 69 51 3 231 15625.34834 0.0147836704163998
"1" 69 51 4 171 10658.38254 0.0160437101369041
"1" 69 51 6 274 13476.87199 0.0203311272974405
"1" 69 51 7 1181 57091.0411 0.0206862579004537
"1" 69 51 90 47 3004.29914 0.0156442477296052
"1" 69 51 91 141 6314.16773 0.0223307339984141
"1" 69 51 99 207 7545.45448 0.0274337351777384
"1" 69 56 0 638 37518.73572 0.0170048373900804
"1" 69 56 1 119 6679.31078 0.0178162094742356
"1" 69 56 2 98 6497.20398 0.015083411310722
"1" 69 56 3 233 13457.23004 0.0173141128826241
"1" 69 56 4 214 12181.75701 0.0175672523942423
"1" 69 56 6 292 12926.19372 0.0225897898735808
"1" 69 56 7 1134 51376.77766 0.0220722289650892
"1" 69 56 90 62 2569.67348 0.0241275790416765
"1" 69 56 91 143 6285.90623 0.0227493053137702
"1" 69 56 99 191 6897.91237 0.0276895370301725
"1" 69 61 0 563 33696.0479 0.0167081908736247
"1" 69 61 1 146 6491.22788 0.0224918925508436
"1" 69 61 2 161 6888.66803 0.0233717170429535
"1" 69 61 3 242 12575.89253 0.0192431669897548
"1" 69 61 4 258 13952.89323 0.0184907886663446
"1" 69 61 6 309 12603.50652 0.0245169865631965
"1" 69 61 7 1178 48078.03556 0.0245018330362082
"1" 69 61 90 56 2493.77343 0.0224559293664461
"1" 69 61 91 174 6574.5674 0.0264656196238858
"1" 69 61 99 247 8956.86719 0.0275766062799018
"1" 70 51 0 696 46131.55445 0.0150872869622107
"1" 70 51 1 115 7909.10681 0.014540200652569
"1" 70 51 2 113 6303.97882 0.0179251871280875
"1" 70 51 3 280 15372.01986 0.0182149127147953
"1" 70 51 4 199 10477.76247 0.0189926046300227
"1" 70 51 6 305 13191.13556 0.0231215878733643
"1" 70 51 7 1224 55908.69532 0.0218928378312943
"1" 70 51 90 45 2955.66666 0.0152249915760122
"1" 70 51 91 166 6163.17182 0.0269341833796222
"1" 70 51 99 188 7346.18482 0.0255915151342462
"1" 70 56 0 681 36853.26223 0.0184786897764953
"1" 70 56 1 114 6561.24162 0.0173747602363103
"1" 70 56 2 126 6378.92065 0.0197525579817332
"1" 70 56 3 259 13212.09372 0.0196032518001242
"1" 70 56 4 234 11952.99864 0.0195766775390514
"1" 70 56 6 315 12631.89868 0.0249368687938209
"1" 70 56 7 1257 50183.39155 0.0250481277007273
"1" 70 56 90 42 2518.67013 0.0166754667472076
"1" 70 56 91 139 6141.84466 0.0226316371863433
"1" 70 56 99 199 6704.09854 0.0296833345770004
"1" 70 61 0 617 33108.49692 0.0186356995151684
"1" 70 61 1 113 6359.93634 0.0177674734398363
"1" 70 61 2 145 6736.5955 0.0215242254043604
"1" 70 61 3 271 12318.2177 0.0219999359160538
"1" 70 61 4 297 13682.83916 0.0217060214277926
"1" 70 61 6 294 12294.48731 0.0239131565706582
"1" 70 61 7 1193 46900.48536 0.0254368369717869
"1" 70 61 90 64 2429.76248 0.0263400231614409
"1" 70 61 91 190 6391.63517 0.0297263524820363
"1" 70 61 99 294 8696.22179 0.0338077853922813
"1" 71 51 0 767 45398.0814 0.01689498710842
"1" 71 51 1 138 7786.40314 0.0177232025517754
"1" 71 51 2 138 6175.41072 0.0223466917840891
"1" 71 51 3 259 15106.26217 0.0171452075361406
"1" 71 51 4 170 10286.71936 0.0165261629145874
"1" 71 51 6 266 12907.73376 0.0206078003269878
"1" 71 51 7 1296 54652.31215 0.0237135438376874
"1" 71 51 90 62 2902.81381 0.0213585865501997
"1" 71 51 91 161 6000.40655 0.0268315152745775
"1" 71 51 99 178 7166.64758 0.0248372754503438
"1" 71 56 0 690 36163.23216 0.0190801529284544
"1" 71 56 1 130 6446.74751 0.02016520730777
"1" 71 56 2 158 6234.82485 0.0253415298426547
"1" 71 56 3 276 12941.4121 0.0213268844131778
"1" 71 56 4 229 11727.96371 0.0195259812924506
"1" 71 56 6 326 12293.43323 0.0265182226885532
"1" 71 56 7 1352 48880.93977 0.0276590426935648
"1" 71 56 90 56 2468.63589 0.0226845928258784
"1" 71 56 91 170 5985.87608 0.0284001869948501
"1" 71 56 99 238 6482.03282 0.0367168767281866
"1" 71 61 0 701 32429.76867 0.0216159420418092
"1" 71 61 1 132 6241.95549 0.0211472190424094
"1" 71 61 2 187 6562.78987 0.0284939794971677
"1" 71 61 3 316 12019.40453 0.0262908199163507
"1" 71 61 4 338 13364.04246 0.0252917484370219
"1" 71 61 6 369 11959.32237 0.0308545909696052
"1" 71 61 7 1330 45633.81447 0.0291450542858816
"1" 71 61 90 44 2377.70775 0.0185052178931578
"1" 71 61 91 176 6217.48325 0.0283072736866641
"1" 71 61 99 287 8403.38674 0.0341528967878967
"1" 72 51 0 829 44594.83158 0.0185895981805163
"1" 72 51 1 135 7646.94728 0.0176541036647503
"1" 72 51 2 136 6033.79947 0.0225396950422683
"1" 72 51 3 303 14819.56408 0.0204459455328324
"1" 72 51 4 212 10097.27247 0.0209957689692809
"1" 72 51 6 326 12612.81525 0.0258467275971556
"1" 72 51 7 1331 53333.15335 0.0249563342198291
"1" 72 51 90 59 2847.93568 0.020716760007726
"1" 72 51 91 160 5838.12251 0.0274060709973008
"1" 72 51 99 205 6972.33742 0.0294019046484988
"1" 72 56 0 736 35456.56951 0.0207577893228622
"1" 72 56 1 131 6310.16362 0.020760158989348
"1" 72 56 2 147 6086.53664 0.0241516659957213
"1" 72 56 3 319 12638.48323 0.0252403705567128
"1" 72 56 4 278 11471.46066 0.024234054253384
"1" 72 56 6 334 11969.32642 0.0279046613217856
"1" 72 56 7 1396 47508.12665 0.0293844463766074
"1" 72 56 90 49 2414.97329 0.020290079481583
"1" 72 56 91 174 5815.31341 0.029921001282715
"1" 72 56 99 213 6251.88434 0.0340697281677479
"1" 72 61 0 784 31695.29564 0.0247355320141131
"1" 72 61 1 125 6111.30457 0.0204538979473576
"1" 72 61 2 191 6376.85549 0.0299520665474575
"1" 72 61 3 322 11696.97466 0.0275284857289757
"1" 72 61 4 382 12993.4223 0.029399490848535
"1" 72 61 6 363 11587.12258 0.0313278812314075
"1" 72 61 7 1431 44247.5168 0.0323407979360324
"1" 72 61 90 67 2323.50169 0.0288357870744652
"1" 72 61 91 196 6031.71186 0.0324949209360939
"1" 72 61 99 292 8108.43322 0.0360118893598041
"1" 73 51 0 886 43741.53675 0.0202553468814742
"1" 73 51 1 150 7505.99725 0.0199840201113849
"1" 73 51 2 142 5910.58246 0.0240247050034389
"1" 73 51 3 304 14518.31282 0.0209390721751923
"1" 73 51 4 231 9877.98842 0.0233853280828203
